ra,dec,vmag,colour
198.0734554,-59.92053651,4.58,FFFFFFFF
162.0225662,-59.91916925,5.98,FFFFFFFF
234.9861914,-59.90781512,5.95,FFFFFFFF
196.8512919,-59.86049011,5.98,FFFFFFFF
130.1543132,-59.76101468,4.31,FFFFFFFF
45.90376552,-59.73761994,5.12,FFFFFFFF
71.08799653,-59.73284052,5.28,FFFFFFFF
259.8021288,-59.69459145,5.93,FFFFFFFF
191.9304954,-59.68873246,1.25,FFFFFFFF
190.48582,-59.68581085,4.91,FFFFFFFF
331.4622975,-59.63594171,5.62,FFFFFFFF
168.3782965,-59.6193167,5.74,FFFFFFFF
159.0856846,-59.56429542,5.08,FFFFFFFF
172.9533642,-59.51564932,5.12,FFFFFFFF
125.628603,-59.50953829,1.86,FFFFFFFF
10.10273354,-59.45568115,5.89,FFFFFFFF
172.9419714,-59.44206384,5.07,FFFFFFFF
147.8001397,-59.42567316,5.79,FFFFFFFF
187.9181037,-59.42391403,5.49,FFFFFFFF
138.23177,-59.41396656,5.54,FFFFFFFF
300.4363427,-59.37582804,4.95,FFFFFFFF
162.3519019,-59.32377833,5.85,FFFFFFFF
230.8444073,-59.32069839,4.48,FFFFFFFF
64.12118133,-59.30174841,4.44,FFFFFFFF
139.2726183,-59.27526115,2.21,FFFFFFFF
143.611096,-59.22976797,4.08,FFFFFFFF
134.2434461,-59.22935883,4.93,FFFFFFFF
160.6690576,-59.21576469,5.36,FFFFFFFF
297.68657,-59.19363715,5.41,FFFFFFFF
159.6875522,-59.18299905,4.69,FFFFFFFF
105.8129557,-59.17813539,5.50,FFFFFFFF
193.6634168,-59.14666538,4.62,FFFFFFFF
198.5642837,-59.10285946,4.90,FFFFFFFF
134.8515874,-59.08439697,5.17,FFFFFFFF
252.4462976,-59.04131648,3.77,FFFFFFFF
186.8703176,-58.99176932,5.38,FFFFFFFF
167.1474818,-58.97504198,3.93,FFFFFFFF
137.7421054,-58.96693014,3.43,FFFFFFFF
81.58032066,-58.91259871,5.14,FFFFFFFF
299.2761809,-58.90131541,5.24,FFFFFFFF
163.3731926,-58.85326474,3.78,FFFFFFFF
159.7487704,-58.81688568,5.96,FFFFFFFF
229.3790009,-58.80087882,4.07,FFFFFFFF
205.5046744,-58.78704974,5.38,FFFFFFFF
97.99296524,-58.75384073,5.69,FFFFFFFF
183.7864873,-58.74890179,2.79,FFFFFFFF
156.9697711,-58.73940856,3.81,FFFFFFFF
159.3628178,-58.73334704,5.47,FFFFFFFF
198.5506239,-58.68390821,5.91,FFFFFFFF
158.1992356,-58.66675023,5.98,FFFFFFFF
247.0632652,-58.59970914,5.67,FFFFFFFF
156.2479199,-58.57631762,5.93,FFFFFFFF
251.5884478,-58.50356849,5.74,FFFFFFFF
351.8122249,-58.47627854,5.63,FFFFFFFF
215.6546749,-58.45915834,4.76,FFFFFFFF
313.7024151,-58.4540947,3.67,FFFFFFFF
142.5977223,-58.36190438,5.88,FFFFFFFF
251.8319338,-58.34139234,5.55,FFFFFFFF
349.3575502,-58.23592762,3.99,FFFFFFFF
128.8149158,-58.22476298,5.27,FFFFFFFF
152.943633,-58.06055982,5.70,FFFFFFFF
260.7301171,-58.0102893,5.86,FFFFFFFF
128.8318677,-58.0092947,4.84,FFFFFFFF
96.76723213,-58.00210529,5.82,FFFFFFFF
145.177511,-57.98357162,5.30,FFFFFFFF
125.3004249,-57.97323049,5.96,FFFFFFFF
242.3273474,-57.93417299,5.57,FFFFFFFF
243.9575464,-57.91222851,5.61,FFFFFFFF
253.5016848,-57.90920925,5.91,FFFFFFFF
336.2341362,-57.79661017,5.31,FFFFFFFF
240.8842544,-57.77487351,4.63,FFFFFFFF
256.1030211,-57.71210729,5.73,FFFFFFFF
176.829871,-57.69654711,5.42,FFFFFFFF
185.7061347,-57.67610097,5.38,FFFFFFFF
156.8519928,-57.63881373,4.65,FFFFFFFF
132.9022178,-57.63361532,5.59,FFFFFFFF
158.8971442,-57.55763551,4.45,FFFFFFFF
266.232683,-57.54551015,5.97,FFFFFFFF
139.0504268,-57.54143764,4.34,FFFFFFFF
277.486154,-57.52308279,5.74,FFFFFFFF
76.37787652,-57.47298928,4.71,FFFFFFFF
10.83851683,-57.46309763,4.36,FFFFFFFF
340.2035701,-57.422306,5.98,FFFFFFFF
48.13808292,-57.32158199,5.71,FFFFFFFF
118.7224691,-57.30288338,5.62,FFFFFFFF
145.2587625,-57.25944118,5.80,FFFFFFFF
159.5110908,-57.25631096,5.89,FFFFFFFF
163.1285528,-57.24041437,5.26,FFFFFFFF
24.42813204,-57.23666007,0.45,FFFFFFFF
193.6485734,-57.17789116,4.03,FFFFFFFF
193.6538387,-57.16864387,5.08,FFFFFFFF
88.08409189,-57.15600008,5.93,FFFFFFFF
187.791372,-57.11256922,1.59,FFFFFFFF
213.738183,-57.08607539,5.03,FFFFFFFF
142.8056407,-57.0343916,3.16,FFFFFFFF
178.043308,-56.98782681,5.56,FFFFFFFF
262.8470175,-56.92095404,5.99,FFFFFFFF
97.36891553,-56.85284448,5.20,FFFFFFFF
351.3307281,-56.84893507,5.60,FFFFFFFF
193.9880823,-56.83580429,5.34,FFFFFFFF
330.822665,-56.77980602,4.69,FFFFFFFF
170.7840221,-56.77936853,5.82,FFFFFFFF
131.67733,-56.76979718,4.50,FFFFFFFF
161.7395616,-56.7571908,5.14,FFFFFFFF
106.0763291,-56.7497313,5.14,FFFFFFFF
306.4118735,-56.73488071,1.94,FFFFFFFF
260.7796356,-56.52555632,5.76,FFFFFFFF
187.475809,-56.52496942,5.78,FFFFFFFF
10.44292464,-56.50145475,5.72,FFFFFFFF
191.5947896,-56.48877967,4.62,FFFFFFFF
117.2780096,-56.41038485,5.57,FFFFFFFF
215.0814698,-56.38647906,4.30,FFFFFFFF
261.3485827,-56.37768824,3.31,FFFFFFFF
185.4893275,-56.3743836,5.91,FFFFFFFF
95.73278618,-56.3699207,5.60,FFFFFFFF
297.0045902,-56.36227755,5.33,FFFFFFFF
179.56353,-56.31731449,5.44,FFFFFFFF
210.8607293,-56.21338128,5.93,FFFFFFFF
24.94684603,-56.19644067,5.76,FFFFFFFF
190.788384,-56.17619646,5.99,FFFFFFFF
87.45656999,-56.1664886,4.50,FFFFFFFF
154.658994,-56.11067508,5.80,FFFFFFFF
122.3901323,-56.08547484,5.66,FFFFFFFF
155.2283958,-56.04322401,4.50,FFFFFFFF
274.2814061,-56.02331993,5.36,FFFFFFFF
254.6551282,-55.99005508,3.12,FFFFFFFF
34.97602796,-55.94484169,5.81,FFFFFFFF
159.8267189,-55.60327905,4.29,FFFFFFFF
138.5751025,-55.56970109,5.26,FFFFFFFF
243.3449991,-55.54084556,5.78,FFFFFFFF
101.827958,-55.54004918,5.60,FFFFFFFF
